SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
223,Riddle,Sara,F,1.57,44.24,W1112178X,United States of America,"Sales Representative, Fuels",7840,Tennis,-,37.0,2.0
224,Melton,Lawrence,M,1.59,54.0,E0725633A,Argentina,Block-Press Operator,55488,Billiards,Koenigsegg,30.0,1.0
225,Willis,Jack,M,1.94,48.36,Z1671730V,United States of America,Lumber Scaler,17152,Billiards,-,29.0,1.0
226,Ayala,Catherine,F,1.48,55.79,O6063036S,Russia,Quarry Plug-And-Feather Driller,46921,Writing,-,38.0,1.0
227,Mcmillan,Ashley,F,1.64,53.68,X1414022H,Chile,"Supervisor, Wire-Rope Fabrication",10121,Eating Out,-,33.0,1.0
228,Gilmore,Peter,M,1.67,64.06,55090518S,Portugal,Tuft-Machine Operator,30770,Team Sports,-,34.0,1.0
229,Combs,Billy,M,1.94,77.47,12347700T,India,Lather,38628,Sleeping,-,45.0,2.0
230,Church,Heather,F,1.6,49.28,63872191Z,Cyprus,Distiller I,53844,Sewing,Suzuki,31.0,1.0
231,Head,Megan,F,1.82,44.37,63028008H,Vietnam,Carbonation Equipment Operator,11658,Painting,-,38.0,0.0
232,Burton,Donna,F,1.56,48.76,Y2768167O,Netherlands,Tube-And-Manifold Builder,26712,Bicycling,-,21.0,1.0
233,Mills,Charles,M,1.94,72.93,38309472Q,Bulgaria,Bullet-Assembly-Press Setter-Operator,34245,Hiking,-,31.0,0.0
234,Jackson,Debra,F,1.54,56.75,B0639393D,Czechia,"Quilt Stuffer, Machine",8917,Boating,-,33.0,0.0
235,Delacruz,Denise,F,1.82,39.32,N6589979G,Spain,Curtain-Stretcher Assembler,31906,Volunteer Work,-,27.0,0.0
236,Suarez,Ashley,F,1.63,39.32,G2260962L,France,"Service Attendant, Sleeping Car",131139,Reading,Chrysler,29.0,0.0
237,Greene,Nathan,M,1.71,58.3,Z2049206R,Saudi Arabia,Show Host/Hostess,8457,Sewing,-,45.0,1.0
238,Stout,Margaret,F,1.74,55.3,29865590O,United Kingdom,Shellfish-Processing-Machine Tender,33979,Bicycling,-,25.0,1.0
239,Love,Denise,F,1.81,47.08,40585167U,Russia,"Spot Picker, Molded Goods",42735,Playing Music,-,44.0,1.0
240,Mack,Bruce,M,1.88,61.34,61214586F,Poland,"Tube Bender, Hand Ii",70961,Hunting,Mitsubishi,36.0,2.0
241,Hancock,Madison,F,1.81,51.26,23684032J,Portugal,Straw-Hat-Washer Operator,11354,Dancing,-,37.0,0.0
242,Vang,Kimberly,F,1.47,42.4,I3744276M,Singapore,Tray-Drier Operator,25522,Billiards,-,19.0,1.0
243,Wiggins,Carl,M,1.76,51.79,X5087147C,Egypt,"Welding-Machine Operator, Ultrasonic",21940,Walking,-,25.0,1.0
244,Benson,Madison,F,1.39,50.91,03438879E,Spain,Car Trimmer,13477,Tennis,-,32.0,2.0
245,Cherry,Douglas,M,1.94,48.36,75082219I,Sweden,Coating-And-Baking Operator,27221,Billiards,-,36.0,1.0
246,Morton,Janet,F,1.48,54.71,48684185M,Brazil,Polisher And Buffer Ii,84152,Running,-,34.0,1.0
247,Hess,Carol,F,1.56,52.51,16637158R,United Kingdom,"Molder, Hand",73962,Beach,BMW,32.0,0.0
248,Solis,Rebecca,F,1.43,55.4,73044340T,Mexico,Cellar Supervisor,25227,Camping,-,25.0,1.0
249,Higgins,Gerald,M,1.94,57.15,79755817K,Croatia,Steam-Press Tender I,16872,Motorcycling,-,33.0,1.0
250,Gallegos,Victoria,F,1.54,39.32,S8905283U,Latvia,Caster,14184,Working on Cars,-,36.0,1.0
251,Moses,Richard,M,1.79,67.56,I6966801V,Poland,Brake Adjuster,84112,Horseback Riding,-,15.0,0.0
252,Lindsey,Grace,F,1.64,45.61,Q0448198W,Italy,Paraffin-Plant Operator,56450,Horseback Riding,-,32.0,1.0
253,Rosa,Teresa,F,1.76,39.32,C2952556C,Croatia,Collection Clerk,6936,Eating Out,-,21.0,1.0
254,Glover,Betty,F,1.82,54.49,18031940G,Slovenia,Phonograph-Cartridge Assembler,11765,Exercise,-,25.0,0.0
255,Norton,Jeffrey,M,1.7,48.36,37410557X,Belgium,Ice Cream Freezer Assistant,7987,Team Sports,-,31.0,1.0
256,Mcfadden,Carol,F,1.48,47.91,Y9706532O,Germany,"Rug Cleaner, Machine",35580,Tennis,-,28.0,1.0
257,Fitzgerald,Sandra,F,1.58,51.62,05227223T,South Africa,Type-Rolling-Machine Operator,17528,Relaxing,-,29.0,1.0
258,Tanner,Debra,F,1.65,47.72,22631395Y,Egypt,"Police Lieutenant, Patrol",7569,Skiing,-,26.0,1.0
259,Stewart,Diana,F,1.68,44.61,Q6840092U,Russia,"Cook, Short Order",64617,Bicycling,-,31.0,0.0
260,Alexander,Andrea,F,1.67,44.9,Q6589379R,Lithuania,Slot-Tag Inserter,14490,Boating,-,25.0,1.0
261,Richards,Edward,M,1.94,64.05,S3239432F,Chile,"Metal-Spraying-Machine Operator, Automatic I",67923,Team Sports,Alfa Romeo,40.0,1.0
262,Mills,Megan,F,1.66,50.83,N9046760F,Brazil,"Battery Charger, Conveyor Line",19040,Family Time,-,30.0,0.0
263,Page,Gregory,M,1.71,88.42,Z6208844D,Chile,Paint-Line Operator,24506,Playing Music,-,27.0,1.0
264,Valentine,Eugene,M,1.63,76.83,H2424099O,India,Biological Photographer,67626,Crafts,Hyundai,24.0,2.0
265,Mcgee,Carolyn,F,1.39,40.43,59472376H,Bulgaria,Tape-Fastener-Machine Operator,29035,Tennis,-,37.0,2.0
266,Kerr,Sara,F,1.75,46.18,46249814M,Hungary,"Radiologic Technologist, Chief",23155,Shopping,-,30.0,1.0
267,Burks,Alice,F,1.74,46.48,07736858E,Netherlands,Duplicator-Punch Operator,13010,Playing Cards,-,34.0,1.0
268,Ayala,Jessica,F,1.74,42.74,A0742414E,Spain,Grain-Drier Operator,94830,Motorcycling,-,34.0,0.0
269,Higgins,Nathan,M,1.94,48.36,72265361Q,India,Drummer,12314,Sleeping,-,17.0,0.0
270,Acevedo,Paul,M,1.9,55.61,21571901N,Sweden,Laboratory Supervisor,7251,Eating Out,-,31.0,1.0
271,Gilmore,Austin,M,1.54,55.51,09874651M,Lithuania,Furnace-And-Wash-Equipment Operator,14262,Socializing,-,17.0,1.0
272,Maxwell,Madison,F,1.7,46.85,G9839236V,Romania,Char-Dust Cleaner And Salvager,69255,Crafts,-,32.0,0.0
273,Hinton,Nicole,F,1.4,50.19,78867732B,Ireland,"Side Laster, Cement",88493,Theater,Toyota,34.0,1.0
274,Reynolds,Evelyn,F,1.51,50.28,O7693223Z,Slovenia,"Printer, Floor Covering",54574,Bicycling,-,44.0,1.0
275,Freeman,Christopher,M,1.92,54.25,35732853C,France,"Spooler, Sequins",229108,Housework,-,42.0,1.0
276,Kim,Anthony,M,1.93,57.28,80353604F,Greece,Yarding Engineer,17816,Entertaining,-,25.0,1.0
277,Lott,Marie,F,1.82,47.83,W1805135Z,France,Mill Operator,11949,Boating,-,28.0,0.0
278,Holt,Jack,M,1.74,67.36,A9173793T,Chile,"Painter Helper, Sign",31981,Hunting,-,24.0,1.0
279,Davidson,Victoria,F,1.59,39.32,61569060R,Malta,"Repairer, Pens And Pencils",146008,Beach,-,25.0,1.0
280,Erickson,Barbara,F,1.57,39.32,77432079Y,South Korea,Wrinkle Chaser,17871,Watching Sports,-,25.0,0.0
281,Harris,Judy,F,1.55,40.47,L6936586D,United Kingdom,Pulp-Drier Firer,16532,Sewing,-,44.0,1.0
282,Sweet,Sandra,F,1.69,50.78,G1213367P,China,Hat-Stock-Laminating-Machine Operator,115922,Entertaining,Nissan,31.0,0.0
283,Hughes,Alice,F,1.82,53.68,M9592711J,France,Cocoa-Powder-Mixer Operator,99511,Watching Sports,-,20.0,1.0
284,Williamson,Diane,F,1.7,39.32,O0435788F,Slovakia,Lease-Out Worker,42851,Going to Movies,-,43.0,1.0
285,Guerra,Doris,F,1.58,45.4,V0230468N,Germany,Nitrator Operator,13375,Beach,-,29.0,0.0
286,Sandoval,Cynthia,F,1.58,61.29,41583818G,Senegal,Patternmaker,19518,Motorcycling,-,24.0,1.0
287,Robertson,Carl,M,1.89,58.9,D6866431V,Spain,Depositing-Machine Operator,60102,Computer Games,-,30.0,1.0
288,Buchanan,Brandon,M,1.94,48.36,Y2064945V,Italy,Multi-Operation-Forming-Machine Operator I,17657,Running,-,35.0,0.0
289,Snyder,Carol,F,1.56,39.32,Q7054507O,Turkey,"Tester, Semiconductor Packages",110623,Motorcycling,-,25.0,1.0
290,Odonnell,Mark,M,1.94,62.69,42221361S,Hungary,Paper-Core-Machine Operator,43579,Gardening,-,22.0,0.0
291,Cooley,Richard,M,1.94,56.85,84919933U,Italy,Hat-Block Maker,44652,Relaxing,-,33.0,2.0
292,Talley,Kimberly,F,1.53,41.98,39284022J,Turkey,Pole-Peeling-Machine-Operator Helper,24071,Shopping,-,29.0,0.0
293,Best,Angela,F,1.58,41.53,B5460889L,Japan,Pencil Inspector,47156,Team Sports,-,28.0,1.0
294,Wilkins,Jack,M,1.83,67.61,27348216B,Slovakia,Membership Solicitor,45770,Sewing,Mitsubishi,17.0,1.0
295,Hancock,Gloria,F,1.77,46.93,R6589104K,Senegal,Foot-Miter Operator,75408,Hunting,-,33.0,0.0
296,Lara,Andrew,M,1.79,55.56,10260469V,Brazil,Receptionist,5645,Sewing,-,33.0,0.0
297,Fuentes,Cheryl,F,1.71,47.26,C1757085M,Latvia,Paint-Spray Inspector,27112,Entertaining,-,29.0,1.0
298,Conway,Peter,M,1.52,57.08,A4580876P,Thailand,"Inspector, Precision",15781,Playing Cards,-,29.0,0.0
299,Hayden,Rose,F,1.42,52.47,78255634I,Malta,Loading-Machine-Operator Helper,38417,Playing Music,-,26.0,1.0
300,Stark,Andrew,M,1.65,48.36,86187608H,Germany,Target Trimmer,57655,Sleeping,Cadillac,21.0,0.0
301,Cox,Matthew,M,1.79,49.14,31389018P,South Korea,Lay-Out Former,116639,Exercise,Saab,31.0,0.0
302,Hansen,Sara,F,1.76,42.91,59552396F,Spain,Greenskeeper Ii,52698,Going to Movies,Lexus,30.0,0.0
303,Nixon,Judy,F,1.64,40.94,T0271889M,France,Spray-Painting-Machine Operator,14789,Watching TV,-,40.0,1.0
304,Morris,Joyce,F,1.64,50.63,W7514144K,Luxembourg,Proof Inspector,15191,Computer Games,-,35.0,0.0
305,Matthews,Matthew,M,1.86,52.33,F6150261V,Spain,Punchboard Assembler I,50991,Theater,Lexus,30.0,0.0
306,Gibson,Gregory,M,1.85,71.09,23233610X,Luxembourg,"Repairer, Switchgear",21471,Boating,-,26.0,0.0
307,Mooney,Juan,M,1.81,61.83,78242256S,Japan,Woodenware Assembler,9957,Shopping,-,29.0,0.0
308,Riddle,Sharon,F,1.62,39.84,77296438B,Hungary,Meeting Planner,32609,Reading,-,29.0,1.0
309,Preston,Kayla,F,1.45,43.57,03064576T,Denmark,"Supervisor, Glazing Department",19396,Sleeping,-,38.0,1.0
310,Carpenter,Joyce,F,1.67,45.48,B6135974V,Italy,Roller-Print Tender,20141,Listening to Music,-,34.0,0.0
311,French,Steven,M,1.59,48.36,O2210352O,Bulgaria,Dielectric-Press Operator,7072,Computer Games,-,45.0,1.0
312,Benton,Scott,M,1.61,69.02,H7622006L,Senegal,Frame-Table-Operator Helper,29725,Horseback Riding,-,31.0,1.0
313,Haley,Stephanie,F,1.62,50.54,83135842A,Latvia,Title Examiner,27896,Painting,-,40.0,1.0
314,Clay,Gabriel,M,1.59,81.51,G2658080Z,United States of America,"Laborer, Pie Bakery",46405,Playing Cards,Dodge,35.0,2.0
315,Nixon,Billy,M,1.7,76.4,P0359041O,South Korea,Snow-Removing Supervisor,86537,Fishing,Dodge,45.0,2.0
316,Reilly,Kathleen,F,1.65,39.32,X6080760U,Slovakia,"Row Boss, Hoeing",84119,Playing Cards,-,29.0,1.0
317,Morris,Gloria,F,1.53,41.9,I0412708H,United Kingdom,Emergency Relief Worker,56640,Dancing,-,35.0,1.0
318,Golden,Alexis,F,1.58,47.7,36173764L,Bulgaria,Gun-Repair Clerk,9457,Hiking,-,23.0,2.0
319,Johns,Donna,F,1.62,47.96,78383960K,Denmark,Stone-Driller Helper,22227,Walking,-,29.0,1.0
320,Nelson,Doris,F,1.63,55.45,I5137290G,South Korea,Matrix-Drier Tender,53524,Traveling,Volvo,34.0,0.0
321,Carey,Susan,F,1.46,45.4,69978641H,Singapore,"Cut-Off-Saw Operator, Pipe Blanks",15373,Cooking,-,38.0,0.0
322,Bean,Patricia,F,1.39,46.77,20258867S,South Korea,"Supervisor, Securities Vault",27948,Family Time,-,29.0,0.0
323,Monroe,Sara,F,1.42,57.31,M6543904K,Greece,Starcher,16052,Bicycling,-,29.0,0.0
324,House,Jesse,M,1.9,52.79,L6509121I,Finland,"Lathe Operator, Contact Lens",21298,Golf,-,27.0,0.0
325,Abbott,Justin,M,1.71,60.99,X7793838Y,Thailand,"Supervisor, Tank Cleaning",17802,Horseback Riding,-,38.0,0.0
326,Rosario,Judith,F,1.53,45.26,33883928Y,Chile,Filer,19106,Eating Out,-,35.0,0.0
327,Wolfe,Billy,M,1.94,68.95,83767729A,Slovakia,Compression-Molding-Machine Operator,27105,Playing Music,-,20.0,1.0
328,Byers,Justin,M,1.94,55.56,X9630915Y,Netherlands,Bundle Tier And Labeler,15907,Team Sports,-,18.0,0.0
329,Salinas,Ralph,M,1.58,81.51,66942941S,Netherlands,"Crew Scheduler, Chief",56639,Fishing,Tesla,28.0,1.0
330,Calderon,Jack,M,1.8,54.75,A1787907N,Spain,Hemming-And-Tacking-Machine Operator,12129,Computer Games,-,24.0,0.0
331,Weber,Amy,F,1.44,49.17,38772283V,India,Spooling-Machine Operator,35256,Running,-,26.0,2.0
332,Nieves,Deborah,F,1.53,42.79,R4496443M,Mexico,Cutting Inspector,18812,Motorcycling,-,26.0,1.0
333,Hamilton,Jean,F,1.5,64.2,57666268R,Netherlands,Glass Polisher,29579,Billiards,-,38.0,0.0
334,Bradley,Jonathan,M,1.8,58.28,O7975847M,Cyprus,"Setter, Cold-Rolling Machine",15779,Team Sports,-,31.0,2.0
335,Frost,Diana,F,1.63,47.42,60652650L,Estonia,Legend Maker,177217,Volunteer Work,-,40.0,1.0
336,Herman,Susan,F,1.71,41.83,29216244Y,Spain,"Waiter/Waitress, Club",40570,Dancing,-,39.0,1.0
337,Cochran,Ruth,F,1.67,53.87,N8728850B,United States of America,"Supervisor, Blueprinting-And-Photocopy",107057,Crafts,-,29.0,1.0
338,Reese,Theresa,F,1.43,39.32,69245962H,Croatia,Tube Cleaner,19146,Billiards,-,27.0,1.0
339,Langley,Samuel,M,1.9,59.53,82281528W,Malta,Rubber-Goods Inspector-Tester,41415,Shopping,-,40.0,1.0
340,Mcdaniel,Gregory,M,1.94,64.69,48374127O,Greece,Steel-Post-Installer Supervisor,86173,Swimming,-,20.0,0.0
341,Poole,Kayla,F,1.43,45.52,O6560895F,Thailand,Wine Pasteurizer,56974,Watching TV,-,41.0,1.0
342,Bailey,Nathan,M,1.81,62.19,I2382642Y,Slovenia,Monotype-Keyboard Operator,13696,Horseback Riding,-,20.0,1.0
343,Torres,Jean,F,1.67,54.65,Q1078529M,Canada,Furnace Helper,189299,Painting,Acura,32.0,2.0
344,Hurst,Gloria,F,1.57,49.56,45462151B,Netherlands,Safety-Pin-Assembling-Machine Operator,49879,Going to Movies,-,33.0,1.0
345,Riggs,Nancy,F,1.7,49.77,J3136478W,France,Tailer,152969,Painting,Porsche,28.0,0.0
346,Sullivan,Lauren,F,1.51,43.28,W9201450Y,United Kingdom,Rubber-Mill Operator,15953,Gardening,-,34.0,1.0
347,Barnett,Nathan,M,1.52,60.36,23907041G,Brazil,Loading-Machine Adjuster,41753,Exercise,Audi,29.0,1.0
348,Sanchez,Justin,M,1.77,48.36,T1121486L,Denmark,Domer,46013,Playing Music,-,24.0,0.0
349,Frank,Sharon,F,1.59,39.32,O1161063J,Malta,Conveyor Loader Ii,26075,Exercise,-,22.0,1.0
350,Vincent,Louis,M,1.63,60.0,J4506008D,Latvia,"Clerk, Telegraph Service",46816,Animal Care,-,25.0,1.0
351,Stevens,Debra,F,1.64,43.22,36842266E,Egypt,Sunglass-Clip Attacher,22712,Boating,-,38.0,0.0
352,Richardson,Amy,F,1.72,50.73,I5379207M,Spain,Medical-Equipment Repairer,33107,Theater,-,38.0,0.0
353,Herrera,Nicole,F,1.44,42.06,T0302237K,Romania,"Inspector, Filter Tip",32006,Exercise,-,30.0,1.0
354,Goff,Arthur,M,1.88,72.0,B2119185B,Russia,Stuffer,22968,Volunteer Work,-,19.0,1.0
355,Ochoa,Kimberly,F,1.63,39.32,O5133166D,Slovakia,Teacher Aide I,36871,Dancing,-,40.0,1.0
356,Bird,Susan,F,1.82,45.53,H0382678D,Indonesia,"Director, Radio",77452,Boating,Fiat,19.0,2.0
357,House,Frances,F,1.82,50.9,Q4603269V,Russia,Button-Facing-Machine Operator,23845,Watching Sports,-,35.0,2.0
358,Pratt,Thomas,M,1.81,76.29,50280001G,Poland,Polishing-Wheel Setter,41173,Computer Games,Tesla,28.0,1.0
359,Mcdaniel,Justin,M,1.68,69.6,N4807622B,United Kingdom,Latexer I,41419,Gardening,Pagani,47.0,1.0
360,Rivers,Christina,F,1.6,39.68,41360087E,Lithuania,Evaporative-Cooler Installer,41272,Gardening,Renault,33.0,0.0
361,Castillo,Donna,F,1.41,44.06,36419138V,Cyprus,Pick-Up Operator,31505,Boating,-,41.0,1.0
362,Oconnor,Teresa,F,1.67,39.32,53880867A,Poland,Tool Designer,36941,Billiards,-,29.0,0.0
363,Mcneil,Melissa,F,1.42,45.77,E8834680B,Saudi Arabia,"Safety Inspector, Truck",222262,Horseback Riding,-,26.0,0.0
364,Vincent,Kathryn,F,1.54,39.32,V6073716G,Poland,Salon Manager,20316,Billiards,-,37.0,0.0
365,Cochran,Justin,M,1.85,55.54,F2692681F,Germany,Power-Chisel Operator,67132,Running,Peugeot,33.0,1.0
366,Hayes,Rebecca,F,1.82,53.4,F0912740J,France,Transportation Inspector,33926,Watching TV,-,37.0,1.0
367,Blackwell,William,M,1.88,79.6,Q7805953P,Netherlands,Heading-Machine Operator,24836,Working on Cars,-,18.0,2.0
368,Austin,Brandon,M,1.89,54.33,D5029187T,Germany,Tattoo Artist,37546,Hiking,-,31.0,1.0
369,Hatfield,Denise,F,1.65,46.15,Y1314161N,Germany,"Gelatin Maker, Utility",42484,Sleeping,-,24.0,1.0
370,Whitney,Michael,M,1.94,65.67,27859774J,Slovenia,"Inspector, Balance Wheel Motion",10242,Fishing,-,29.0,0.0
371,Petty,Ryan,M,1.69,48.36,14496483Y,Cyprus,"Engine Repairer, Service",73598,Exercise,Fiat,27.0,0.0
372,Pope,Gary,M,1.81,48.36,T8457821I,Latvia,"Supervisor, Diversified Crops",47559,Hunting,Nissan,23.0,1.0
373,Dunn,Cheryl,F,1.54,39.32,63551540V,Portugal,Fish Roe Technician,28981,Playing Music,-,27.0,0.0
374,Fitzpatrick,Theresa,F,1.56,43.25,U2711166T,Luxembourg,Carton-Forming-Machine Helper,154761,Traveling,BMW,28.0,0.0
375,Castillo,Anna,F,1.42,50.68,K3325870C,Estonia,Flight Attendant,30368,Reading,-,23.0,1.0
376,Steele,Shirley,F,1.75,43.07,43537459I,Estonia,Whipped-Topping Finisher,53029,Watching Sports,Mitsubishi,27.0,0.0
377,Pennington,Adam,M,1.94,81.68,K9401236K,Singapore,Flame-Annealing-Machine Setter,63259,Horseback Riding,Volvo,32.0,1.0
378,Fowler,Brittany,F,1.82,45.82,M4092712V,France,Yeast Washer,16113,Going to Movies,-,26.0,0.0
379,Delaney,Brian,M,1.94,61.47,60786649Z,Poland,Clock Assembler,33194,Beach,-,20.0,0.0
380,Morris,Dennis,M,1.88,51.67,50443652X,Romania,Identification Officer,41206,Shopping,-,29.0,1.0
381,Bernard,Roy,M,1.93,65.99,P7026909S,Thailand,"Painter Apprentice, Transportation Equipment",55562,Billiards,-,24.0,0.0
382,Scott,Andrew,M,1.94,74.02,77771493T,Romania,Forwarder,7682,Tennis,-,17.0,0.0
383,Spears,Carl,M,1.66,55.59,A1619775X,Netherlands,Propellant-Charge-Zone Assembler,23854,Relaxing,-,26.0,1.0
384,Sparks,Ralph,M,1.94,56.31,74418250G,Slovakia,"Binder Cutter, Hand",45118,Billiards,Subaru,35.0,0.0
385,Lynn,Anthony,M,1.94,61.66,R3294533G,Mexico,Subscription Crew Leader,61226,Shopping,Mitsubishi,18.0,1.0
386,Pugh,Ronald,M,1.76,62.43,73231306D,Turkey,"Wicker, Molded Candles",64116,Bowling,-,28.0,1.0
387,Kelley,Katherine,F,1.82,44.69,G3406204O,Slovakia,Stationary-Engineer Apprentice,7644,Gardening,-,25.0,1.0
388,Gutierrez,Cynthia,F,1.47,42.4,V6166263H,Bulgaria,"Front Maker, Lockstitch",7401,Working on Cars,-,27.0,0.0
389,Melendez,Randy,M,1.87,66.16,Q6998130S,Brazil,Melter Operator,56820,Bicycling,-,29.0,0.0
390,Harvey,Kathleen,F,1.64,48.76,49634144F,Romania,Pocketed-Spring Assembler,10739,Hiking,-,34.0,0.0
391,Hernandez,Teresa,F,1.58,49.59,58851524J,Thailand,"Supervisor, Painting Department",8614,Theater,-,26.0,0.0
392,Farley,Timothy,M,1.59,70.06,40931449B,Japan,"Supervisor, Pigment Making",53450,Golf,Pagani,43.0,2.0
393,Carver,Bobby,M,1.87,67.05,K8913111M,Brazil,"Lead Worker, Wafer Polishing",53111,Shopping,Maserati,21.0,0.0
394,Vinson,Shirley,F,1.47,39.32,V2805606C,Denmark,Mailer,38008,Theater,-,29.0,0.0
395,Galloway,Madison,F,1.5,45.89,72458174A,Italy,Liner Assembler,233416,Reading,Buick,44.0,2.0
396,Duncan,Johnny,M,1.82,64.16,62104126R,Portugal,Last Chalker,24481,Swimming,-,33.0,1.0
397,Garcia,Justin,M,1.56,66.7,84629687L,Lithuania,Assistant Golf Professional,13236,Dancing,-,31.0,1.0
398,Christian,Timothy,M,1.52,55.17,Q5012519G,Estonia,Outside-Plant Engineer,42256,Watching TV,-,30.0,0.0
399,Brady,Janice,F,1.51,39.32,U4316139V,Russia,Photo Mask Processor,47151,Cooking,-,40.0,1.0
400,Vasquez,Gregory,M,1.86,66.58,22498878H,Indonesia,Varnish Inspector,50165,Socializing,-,43.0,2.0
401,Waller,Kathleen,F,1.61,40.05,31086082B,Indonesia,Field Recorder,14673,Hunting,-,26.0,1.0
402,Sloan,Adam,M,1.54,68.86,Z9323058L,India,"Machine Operator, Centrifugal-Control Switches",29826,Camping,-,30.0,0.0
403,Herring,Albert,M,1.75,72.51,M6905118E,Latvia,Grain-Drier Operator,19021,Bicycling,-,22.0,1.0
404,Daniels,Debra,F,1.65,40.53,U7377851O,Ireland,Tower Erector,76714,Team Sports,-,26.0,1.0
405,Grant,Brenda,F,1.81,50.09,R2807167G,Ireland,Vending-Machine Attendant,42089,Going to Movies,Mini,31.0,1.0
406,England,Brandon,M,1.69,57.3,F1507462U,Netherlands,Electromedical-Equipment Repairer,54563,Socializing,Porsche,22.0,1.0
407,Bell,Brian,M,1.52,48.36,H0937380U,Singapore,Irrigation System Installer,31143,Traveling,-,45.0,1.0
408,Mccullough,Edward,M,1.94,62.02,61951730Y,China,Gem Cutter,10078,Running,-,28.0,0.0
409,Robertson,Richard,M,1.65,48.36,K5329784B,Luxembourg,"Supervisor, Slate Splitting",48480,Bowling,-,15.0,0.0
410,Casey,Billy,M,1.76,55.88,86581606P,Ireland,"Rounder, Hand",48398,Hiking,-,42.0,2.0
411,Mcfadden,Janice,F,1.77,44.85,45089222Q,Spain,"Rater, Travel Accommodations",53101,Crafts,-,44.0,2.0
412,Vargas,Carol,F,1.51,42.8,55289648A,Germany,Scientific Glass Blower,54526,Bowling,Toyota,27.0,1.0
413,Stanley,Maria,F,1.49,39.42,19259596J,Spain,Motor-Vehicle-Light Assembler,26017,Watching TV,-,23.0,1.0
414,Cruz,Austin,M,1.82,63.08,57395536M,Brazil,"Metal-Spraying-Machine Operator, Automatic Ii",64411,Golf,-,30.0,1.0
415,Pate,Bryan,M,1.81,51.32,36258704Z,Singapore,Coin-Machine Assembler,20709,Animal Care,-,27.0,2.0
416,Osborne,Nicole,F,1.59,39.32,Q4748497N,Spain,Automatic-Door Mechanic,44989,Skiing,-,40.0,1.0
417,Turner,Robert,M,1.88,78.55,24247973I,Chile,Steeple Jack,37821,Dancing,-,34.0,1.0
418,Blevins,Abigail,F,1.64,51.87,U4210660Q,Ireland,"Inspector, Building",202022,Skiing,-,42.0,2.0
419,Bass,David,M,1.57,71.49,I8518401R,Italy,Harness Puller,24105,Watching TV,-,22.0,1.0
420,Harrell,Nathan,M,1.94,56.25,29862682T,Bulgaria,"Flight Attendant, Ramp",15731,Skiing,-,27.0,0.0
421,Walker,Pamela,F,1.46,54.39,22627004D,Italy,Jewel Inspector,90999,Socializing,Honda,37.0,1.0
422,Jefferson,Brian,M,1.62,65.25,Z3075533M,Denmark,House-Mover Helper,111653,Eating Out,-,28.0,1.0
423,Juarez,Deborah,F,1.71,42.31,C8068624S,Italy,Fiberglass-Machine Operator,31775,Swimming,-,24.0,0.0
424,Ware,Rebecca,F,1.64,53.39,M5652780H,France,Drying-Oven Attendant,121359,Golf,Subaru,28.0,1.0
425,Herrera,Joan,F,1.45,62.61,73317271X,Spain,Metal-Fabricator Apprentice,19227,Shopping,-,25.0,0.0
426,Bird,Lawrence,M,1.52,79.17,35293313W,Canada,Chief Information Officer (CIO),7020,Bicycling,-,28.0,0.0
427,Peters,Roy,M,1.71,48.36,E5918370N,Cyprus,Chart Calculator,11184,Relaxing,-,34.0,1.0
428,Jones,Michael,M,1.94,72.22,G2585069V,Czechia,Pattern Gater,37395,Sleeping,-,19.0,0.0
429,Neal,Sara,F,1.39,52.92,J8059707Q,Senegal,Steam-Conditioner Operator,108482,Entertaining,General Motors,19.0,1.0
430,Patel,William,M,1.88,53.96,D8092930U,Romania,"Assembler, Aircraft Power Plant",11697,Eating Out,-,22.0,1.0
431,Wilkerson,Nancy,F,1.55,39.32,06286739X,Czechia,Defensive Fire Control Systems Operator,61471,Camping,-,29.0,0.0
432,Guzman,Shirley,F,1.44,44.48,24864276Y,Spain,Dyed-Yarn Operator,21951,Exercise,-,27.0,0.0
433,Cunningham,Angela,F,1.4,49.1,K9160395A,Romania,"Engine-Lathe Set-Up Operator, Tool",45772,Relaxing,Mini,37.0,0.0
434,Holcomb,Kathleen,F,1.47,40.13,Z8098946R,Estonia,"Repairer, Welding, Brazing, And Burning Machines",19718,Exercise,-,30.0,0.0
435,Petersen,Stephanie,F,1.79,39.32,V1043879E,Germany,Pharmacy Technician,39792,Horseback Riding,-,36.0,1.0
436,Alford,Eric,M,1.94,48.61,D5654518O,Thailand,Barrel Filler Ii,119025,Computer Games,Mazda,26.0,0.0
437,Chase,Roy,M,1.84,60.75,66898902B,Thailand,Upholstery Cleaner,73590,Bowling,-,34.0,0.0
438,Stewart,Pamela,F,1.82,46.59,24960537M,Denmark,Luggage Repairer,29779,Eating Out,-,36.0,1.0
439,Sparks,Rachel,F,1.47,41.01,V4857352X,China,Furnace Installer,103318,Socializing,-,29.0,0.0
440,Maddox,Alice,F,1.64,43.74,61241079N,Senegal,"Welder Apprentice, Arc",10688,Playing Music,-,27.0,0.0
441,Hardin,Victoria,F,1.76,39.32,E7283995R,Sweden,Prototype-Deicer Assembler,51630,Relaxing,-,19.0,2.0
442,Calhoun,Victoria,F,1.7,46.38,37859274N,India,"Fabricator, Artificial Breast",10602,Family Time,-,25.0,0.0
